C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
t:  16%|███████████████                                                                              | 42/259 [00:00<00:00, 416.07it/s, now=None]
global_step=272, episodic_return=0.760937511920929
SPS:  114
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682934545\rl-video-episode-0.mp4.

Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682934545\rl-video-episode-0.mp4
global_step=52932, episodic_return=0.0
global_step=52968, episodic_return=0.0
global_step=53060, episodic_return=0.0
SPS:  327
global_step=53588, episodic_return=0.0
SPS:  327
global_step=53956, episodic_return=0.0
global_step=53992, episodic_return=0.0
global_step=54084, episodic_return=0.0
SPS:  326
global_step=54612, episodic_return=0.0
SPS:  324
global_step=54980, episodic_return=0.0
global_step=55016, episodic_return=0.0
global_step=55108, episodic_return=0.0
SPS:  324
global_step=55636, episodic_return=0.0
SPS:  325
global_step=56004, episodic_return=0.0
global_step=56040, episodic_return=0.0
global_step=56132, episodic_return=0.0
SPS:  325
global_step=56660, episodic_return=0.0
SPS:  325
global_step=57028, episodic_return=0.0
global_step=57064, episodic_return=0.0
global_step=57156, episodic_return=0.0
SPS:  325
global_step=57684, episodic_return=0.0
SPS:  325
global_step=58052, episodic_return=0.0
global_step=58088, episodic_return=0.0
global_step=58180, episodic_return=0.0
SPS:  325
global_step=58708, episodic_return=0.0
SPS:  325
global_step=59076, episodic_return=0.0
global_step=59112, episodic_return=0.0
global_step=59204, episodic_return=0.0
SPS:  325
global_step=59732, episodic_return=0.0
SPS:  326
global_step=60100, episodic_return=0.0
global_step=60136, episodic_return=0.0
global_step=60228, episodic_return=0.0
SPS:  326
global_step=60756, episodic_return=0.0
SPS:  325
global_step=61124, episodic_return=0.0
global_step=61160, episodic_return=0.0
global_step=61252, episodic_return=0.0
SPS:  325
global_step=61780, episodic_return=0.0
SPS:  325
global_step=62148, episodic_return=0.0
global_step=62184, episodic_return=0.0
global_step=62276, episodic_return=0.0
SPS:  325
global_step=62804, episodic_return=0.0
SPS:  326
global_step=63172, episodic_return=0.0
global_step=63208, episodic_return=0.0
global_step=63300, episodic_return=0.0
SPS:  326
global_step=63828, episodic_return=0.0
SPS:  326
global_step=64196, episodic_return=0.0
global_step=64232, episodic_return=0.0
global_step=64324, episodic_return=0.0
SPS:  325
global_step=64852, episodic_return=0.0
SPS:  325
global_step=65220, episodic_return=0.0
global_step=65256, episodic_return=0.0
